Not_Active_subscribers,Not_Active_subscribers_missing,Not_Active_subscribers_imputed_median,Not_Active_subscribers_log1p,Not_Active_subscribers_zscore,Not_Active_subscribers_iqr_outlier,CHURN,churn_binary
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
9.0,0,9.0,2.302585092994046,0.8626564447631845,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
18.0,0,18.0,2.9444389791664403,2.1789082367457113,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
6.0,0,6.0,1.9459101490553132,0.42390584743567555,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
12.0,0,12.0,2.5649493574615367,1.3014070420906934,1,No,0
6.0,0,6.0,1.9459101490553132,0.42390584743567555,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
16.0,0,16.0,2.833213344056216,1.886407838527372,1,Yes,1
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
25.0,0,25.0,3.258096538021482,3.2026596305098987,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
13.0,0,13.0,2.6390573296152584,1.447657241199863,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
8.0,0,8.0,2.1972245773362196,0.7164062456540148,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
8.0,0,8.0,2.1972245773362196,0.7164062456540148,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
22.0,0,22.0,3.1354942159291497,2.7639090331823897,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
25.0,0,25.0,3.258096538021482,3.2026596305098987,1,No,0
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
12.0,0,12.0,2.5649493574615367,1.3014070420906934,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
19.0,0,19.0,2.995732273553991,2.325158435854881,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,Yes,1
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
14.0,0,14.0,2.70805020110221,1.5939074403090328,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
7.0,0,7.0,2.0794415416798357,0.5701560465448452,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
16.0,0,16.0,2.833213344056216,1.886407838527372,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
5.0,0,5.0,1.791759469228055,0.2776556483265059,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
13.0,0,13.0,2.6390573296152584,1.447657241199863,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
8.0,0,8.0,2.1972245773362196,0.7164062456540148,1,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
12.0,0,12.0,2.5649493574615367,1.3014070420906934,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
11.0,0,11.0,2.4849066497880004,1.1551568429815238,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
9.0,0,9.0,2.302585092994046,0.8626564447631845,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,Yes,1
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
4.0,0,4.0,1.6094379124341003,0.13140544921733627,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,Yes,1
3.0,0,3.0,1.3862943611198906,-0.014844749891833379,1,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
2.0,0,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
1.0,0,1.0,0.6931471805599453,-0.30734514811017266,1,No,0
,1,2.0,1.0986122886681098,-0.16109494900100302,0,No,0
